episode,timestep,reward
1,40000,666.1498000000
3,80000,662.5610000000
5,120000,635.5067000000
7,160000,688.6400000000
9,200000,716.3726000000
11,240000,779.0507000000
14,280000,749.2769000000
16,320000,812.7291000000
18,360000,785.8553000000
20,400000,812.0631000000
22,440000,815.1856000000
25,480000,820.9377000000
28,520000,739.0413000000
31,560000,818.8862000000
34,600000,819.7277000000
37,640000,820.5564000000
40,680000,814.7451000000
44,720000,830.5563000000
48,760000,686.5203000000
53,800000,837.8842000000
58,840000,837.7514000000
63,880000,841.8514000000
70,920000,805.4753000000
77,960000,842.3696000000
85,1000000,824.3707000000
96,1040000,858.1575000000
110,1080000,817.7609000000
125,1120000,852.2150000000
134,1160000,1588.1215000000
153,1200000,836.4416000000
175,1240000,849.6875000000
206,1280000,852.1619000000
244,1320000,834.4914000000
281,1360000,845.5008000000
320,1400000,823.4482000000
362,1440000,834.3147000000
405,1480000,826.2751000000
446,1520000,830.5417000000
494,1560000,836.9621000000
541,1600000,844.3675000000
589,1640000,829.3051000000
639,1680000,842.9855000000
690,1720000,828.5083000000
741,1760000,851.7298000000
793,1800000,858.8348000000
845,1840000,864.1944000000
896,1880000,857.6096000000
949,1920000,861.1229000000
1001,1960000,865.4096000000
1053,2000000,884.5325000000
1105,2040000,875.0309000000
1156,2080000,905.2425000000
1209,2120000,901.8154000000
1261,2160000,904.8198000000
1288,2200000,1150.8987000000
1340,2240000,913.5762000000
1392,2280000,912.4328000000
1445,2320000,912.0075000000
1497,2360000,895.4087000000
1550,2400000,911.5148000000
1602,2440000,902.2494000000
1655,2480000,906.7346000000
1708,2520000,910.6984000000
1761,2560000,906.8177000000
1814,2600000,897.7199000000
1867,2640000,913.7336000000
1895,2680000,1011.5416000000
1947,2720000,917.5984000000
2001,2760000,899.3445000000
2054,2800000,909.7743000000
2108,2840000,889.2938000000
2160,2880000,901.4867000000
2213,2920000,904.8337000000
2267,2960000,889.6901000000
2322,3000000,866.2325000000
